" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0029576","nm0062183,nm0906291","Send Home Number 7","Skicka hem Nr. 7","1937","Comedy,Romance"
"tt0029578","nm0166730","Slaves in Bondage","Slaves in Bondage","1937","Crime,Drama"
"tt0029625","nm0543836","Sweetheart of the Navy","Sweetheart of the Navy","1937","Comedy,Musical,Romance"
"tt0029631","nm0782804","I Married for Love","Szerelemböl nösültem","1937","Comedy"
"tt0029659","nm0485647","Thin Ice","Thin Ice","1937","Comedy,Musical,Romance"
"tt0029712","nm0803705","Under the Red Robe","Under the Red Robe","1937","Adventure,Romance"
"tt0029751","nm0000406","Wee Willie Winkie","Wee Willie Winkie","1937","Adventure,Family"
"tt0029776","nm0792450","Wild Horse Rodeo","Wild Horse Rodeo","1937","Western"
"tt0029817","nm0417837,nm0879802","The Broken Jug","Der zerbrochene Krug","1937","Comedy"
"tt0029827","nm0283974","Éxodo","Éxodo","1937","Documentary,Short,War"
"tt0029861","nm0485647","Always Goodbye","Always Goodbye","1938","Comedy,Drama,Romance"
"tt0029919","nm0825596","Footsteps in the Sand","Black Limelight","1939","Crime,Drama,Mystery"
"tt0030001","nm0627864","Code of the Rangers","Code of the Rangers","1938","Western"
"tt0030047","nm0687046","Defendemos nuestra tierra","Defendemos nuestra tierra","1938","Documentary,Short,War"
"tt0030069","nm0454790","Donald's Golf Game","Donald's Golf Game","1938","Animation,Comedy,Family"
"tt0030151","nm0002031","Four's a Crowd","Four's a Crowd","1938","Comedy,Romance"
"tt0030184","nm0103975","Girls' School","Girls' School","1938","Comedy"
"tt0030202","nm0245213,nm0903049,nm0281808","The Great Waltz","The Great Waltz","1938","Biography,Drama,Music"
"tt0030231","nm0890085","Hey! Hey! USA","Hey! Hey! USA","1938","Comedy"
"tt0030264","nm0783509","Ich liebe dich","Ich liebe dich","1938",NULL
"tt0030265","nm0515979","If I Were King","If I Were King","1938","Adventure,History"
"tt0030271","nm0251456","Das indische Grabmal","Das indische Grabmal","1938","Drama"
"tt0030357","nm0281487,nm0460667","Let's Celebrake","Let's Celebrake","1938","Animation,Comedy,Family"
"tt0030366","nm0627864","Lightning Carson Rides Again","Lightning Carson Rides Again","1938","Western"
"tt0030426","nm0080755","La mazurca di papà","La mazurca di papà","1938","Comedy"
"tt0030512","nm0850895","Now That Summer Is Gone","Now That Summer Is Gone","1938","Animation,Comedy,Family"
"tt0030567","nm0103975","Penitentiary","Penitentiary","1938","Drama"
"tt0030592","nm0281487,nm0101466","Plumbing Is a 'Pipe'","Plumbing Is a 'Pipe'","1938","Animation,Comedy,Family"
"tt0030606","nm0198246,nm0362041","Porky the Gob","Porky the Gob","1938","Action,Adventure,Animation"
"tt0030647","\N","Quintupland","Quintupland","1938","Documentary,Short"
"tt0030662","nm0066247,nm0416258","Red Barry","Red Barry","1938","Action"
"tt0030747","nm0909436","Sigge Nilsson och jag","Sigge Nilsson och jag","1938","Comedy"
"tt0030763","nm0006943","Slander House","Slander House","1938","Drama"
"tt0030822","\N","Swing, Swing, Swing","Swing, Swing, Swing","1938",NULL
"tt0030848","nm0281808","Test Pilot","Test Pilot","1938","Drama,Romance"
"tt0030853","nm0002179","Thanks for the Memory","Thanks for the Memory","1938","Comedy"
"tt0030867","nm0861703","Three Loves Has Nancy","Three Loves Has Nancy","1938","Comedy"
"tt0030880","nm0132516","Too Many Husbands","Too Many Husbands","1938",NULL
"tt0030893","nm0627864","Trigger Pals","Trigger Pals","1939","Western"
"tt0030942","nm0153713","Violent Is the Word for Curly","Violent Is the Word for Curly","1938","Comedy,Short"
"tt0030943","nm0624756","The Viper","The Viper","1938","Comedy,Crime"
"tt0030980","\N","The Winning Ticket","The Winning Ticket","1938","Animation,Comedy,Family"
"tt0031023","nm0007944","The Adventures of the Masked Phantom","The Adventures of the Masked Phantom","1939","Western"
"tt0031031","nm0627087","All Women Have Secrets","All Women Have Secrets","1939","Comedy"
"tt0031052","nm0397227","Arizona Legion","Arizona Legion","1939","Western"
"tt0031140","nm0627438","Carmen fra i rossi","Carmen fra i rossi","1939","War"
"tt0031206","nm0000813","Dangerous Dan McFoo","Dangerous Dan McFoo","1939","Animation,Comedy,Family"
"tt0031232","nm0282984","Disbarred","Disbarred","1939","Crime,Drama,Thriller"
"tt0031241","nm0454790","Donald's Cousin Gus","Donald's Cousin Gus","1939","Animation,Comedy,Family"
"tt0031250","nm0384616","Drifting Westward","Drifting Westward","1939","Western"
"tt0031258","nm0652302","Durga","Durga","1939",NULL
"tt0031323","nm0219068","Flying Fifty-Five","Flying Fifty-Five","1939","Drama"
"tt0031412","nm0243295,nm0782597","Hell's Kitchen","Hell's Kitchen","1939","Drama"
"tt0031424","nm0894022,nm0674398","Los hijos de la noche","Los hijos de la noche","1939","Comedy,Musical"
"tt0031467","nm0780009","I Was a Convict","I Was a Convict","1939","Crime,Drama,Romance"
"tt0031503","nm0304098","I Accuse","J'accuse!","1938","Drama,Horror,Sci-Fi"
"tt0031537","nm0477702","Kitty and the World Conference","Kitty und die Weltkonferenz","1939","Comedy"
"tt0031559","nm0281487,nm0460667","Leave Well Enough Alone","Leave Well Enough Alone","1939","Animation,Comedy,Family"
"tt0031586","nm0257638,nm0936823","The Lone Ranger Rides Again","The Lone Ranger Rides Again","1939","Western"
"tt0031680","nm0631438","Mr. Wong in Chinatown","Mr. Wong in Chinatown","1939","Mystery"
"tt0031709","nm0166058","Nancy Drew... Reporter","Nancy Drew... Reporter","1939","Comedy,Crime,Mystery"
"tt0031745","nm0472406,nm0134898","Ohnivé léto","Ohnivé léto","1939","Drama,Romance"
"tt0031759","nm0776838","One Hour to Live","One Hour to Live","1939","Drama"
"tt0031835","nm0113284","The Rains Came","The Rains Came","1939","Adventure,Drama,Romance"
"tt0031861","nm0916125","Riders of the Sage","Riders of the Sage","1939","Western"
"tt0031916","nm0902025","Sensationsprozess Casilla","Sensationsprozess Casilla","1939","Crime,Drama"
"tt0032001","nm0844161","Hello, Peter!","Szervusz Péter!","1939",NULL
"tt0032003","nm0744023","The Bullying Turkey","Il tacchino prepotente","1939","Comedy,Short"
"tt0032008","nm0520419","Teacher's Pest","Teacher's Pest","1939","Comedy,Short,Western"
"tt0032041","nm0112897","Too Busy to Work","Too Busy to Work","1939","Comedy"
"tt0032111","nm0783509","Wasser für Canitoga","Wasser für Canitoga","1939","Adventure,Drama,Western"
"tt0032165","nm0902006","Zwischen Strom und Steppe","Zwischen Strom und Steppe","1939",NULL
"tt0032203","nm0062759","Among Human Wolves","Secret Journey","1939","Drama,War"
"tt0032713","nm0172151","Seven Little Australians","Seven Little Australians","1939","Drama,Family"
"tt0125576","nm0850024","Stolen Death","Varastettu kuolema","1938","Thriller"
"tt0127438","\N","Aspectos do Rio Alviela","Aspectos do Rio Alviela","1937","Documentary"
"tt0127442","\N","Através do Algarve","Através do Algarve","1937","Documentary"
"tt0127543","\N","A Estreia de Gala de 'Tempos Modernos' no São Luiz","A Estreia de Gala de 'Tempos Modernos' no São Luiz","1937","Documentary"
"tt0128918","nm0578933","Alegria pelo Trabalho","Alegria pelo Trabalho","1939","Documentary"
"tt0129036","nm0210280","O Dia da Marinha","O Dia da Marinha","1939","Documentary"
"tt0130355","nm0656860","Voyage to the Sky","Voyage dans le ciel","1937","Short"
"tt0131420","nm0901874","Heimweh","Heimweh","1937",NULL
"tt0131512","nm0003593","One Against the World","One Against the World","1939","Biography,History,Short"
"tt0134112","nm0483944","Der Spieler","Der Spieler","1938","Drama"
"tt0134289","nm0329574","Anything for a Thrill","Anything for a Thrill","1937","Drama"
"tt0136986","nm0211964","Hat hét boldogság","Hat hét boldogság","1939",NULL
"tt0142160","nm0667170","Le chemin de l'honneur","Le chemin de l'honneur","1939","Drama"
"tt0142429","nm0487237","The Keeper of the Lions","The Keeper of the Lions","1937","Animation,Short"
"tt0146743","nm0386785","Fine Feathers","Fine Feathers","1937","Musical"
"tt0148400","nm0204190","Let's Go","Let's Go","1937","Animation,Fantasy,Short"
"tt0149800","nm0711197","Barnyard Egg-citement","Barnyard Egg-citement","1939","Animation,Short"
"tt0150402","nm0083104","Druhe mládi","Druhe mládi","1938","Drama,Musical"
"tt0150418","nm0487237","The Dumb Cluck","The Dumb Cluck","1937","Animation,Short"
"tt0151258","nm0817662","Krb bez ohne","Krb bez ohne","1937","Comedy,Romance"
"tt0151575","nm0205074","Milk for Baby","Milk for Baby","1938","Animation,Short"
"tt0151735","nm0522772","Nellie the Indian Chief's Daughter","Nellie the Indian Chief's Daughter","1938","Animation,Short"
"tt0152108","nm0546184","Puttin' Out the Kitten","Puttin' Out the Kitten","1937","Animation,Short"
"tt0154660","nm0619966","Itahachi jima","Itahachi jima","1938",NULL
"tt0154674","nm0024061","Jayakkodi","Jayakkodi","1939",NULL
"tt0157504","nm0151543","Dakshayagnam","Dakshayagnam","1938",NULL
"tt0158496","nm0776369,nm1927673","Der Bienenstaat","Der Bienenstaat","1938","Documentary,Short"
"tt0158824","\N","Nella luce di Roma","Nella luce di Roma","1938","Documentary"
"tt0158933","nm0260703","Les sentinelles de l'empire","Les sentinelles de l'empire","1939","Documentary"
"tt0159828","nm0337815","What Goes Up","What Goes Up","1939","Comedy,Musical,Mystery"
"tt0164871","nm0345073","The False Step","Der Schritt vom Wege","1939","Drama"
"tt0165392","nm0347825","Museum Mystery","Museum Mystery","1937","Crime"
"tt0168801","nm0909398","For Valour","For Valour","1937","Comedy,Drama"
"tt0169683","nm0597597,nm0477743","Le choc en retour","Le choc en retour","1937","Comedy,Romance"
"tt0175163","nm0777706","Show for Sale","Show for Sale","1937","Musical,Short"
"tt0178225","nm0895733","Alegria","Alegria","1937",NULL
"tt0187912","\N","How to Take a Bath","How to Take a Bath","1937","Short"
"tt0192011","nm0826570","La famille Duraton","La famille Duraton","1939","Comedy"
"tt0202210","nm0478303","Adrienne Lecouvreur","Adrienne Lecouvreur","1938","Biography,Drama"
"tt0205748","nm0167496","L'Arabie interdite","L'Arabie interdite","1937","Short"
"tt0205977","nm1232312,nm0167496","La grande chartreuse","La grande chartreuse","1938","Short"
"tt0206085","nm0917688","Leng yue shi hun","Leng yue shi hun","1938",NULL
"tt0208912","nm0306599","Doktór Murek","Doktór Murek","1939","Drama"
"tt0214141","nm0871740","Ski Birds","Ski Birds","1939","Documentary,Short"
"tt0214633","nm0317308","Do Auraten","Do Auraten","1937",NULL
"tt0220558","nm0746740","How to Start the Day","How to Start the Day","1937","Comedy,Short"
"tt0228344","nm0869664","The Grand Bounce","The Grand Bounce","1937","Comedy,Drama,Short"
"tt0230478","nm0092168","The Whip","El látigo","1939","Adventure,Drama"
"tt0231395","\N","Cotton Club Revue","Cotton Club Revue","1938","Documentary,Music"
"tt0232082","nm0435633","Mera Ladka","Mera Ladka","1938",NULL
"tt0233267","nm0915007","The Awful Tooth","The Awful Tooth","1938","Comedy,Family,Short"
"tt0238897","nm0557630","Chhote Sarkar","Chhote Sarkar","1938",NULL
"tt0239071","nm0557630","Jagat Kesari","Jagat Kesari","1937",NULL
"tt0239240","nm0616268,nm0467035","Arinka","Arinka","1939","Comedy"
"tt0244519","nm0903275","Fräulein Figaro","Fräulein Figaro","1939","Short"
"tt0247383","nm0894204","Gold in New Frisco","Gold in New Frisco","1939","Adventure"
"tt0253094","nm0679610,nm0062580","Gangavataran","Gangavataran","1937",NULL
"tt0253613","nm0056334","S.O.S. Sahara","S.O.S. Sahara","1938","Drama"
"tt0255384","nm0700393","Mohini Bhasmasura","Mohini Bhasmasura","1938",NULL
"tt0279489","nm0482742","U pokladny stál...","U pokladny stál...","1939","Comedy"
"tt0280769","nm0019328","Indian Northern Frontier","Indian Northern Frontier","1937","Documentary"
"tt0285656","nm0843636","Klamstwo Krystyny","Klamstwo Krystyny","1939","Drama"
"tt0287994","nm0304606","Dziewczyna szuka milosci","Dziewczyna szuka milosci","1938","Drama,Romance"
"tt0292580","nm0329574","Locks and Bonds","Locks and Bonds","1937","Comedy,Short"
"tt0295637","nm0303120","Stimme des Blutes","Stimme des Blutes","1938","Drama,Romance"
"tt0314319","nm0745890","Lights, Action, Lucas!","Lights, Action, Lucas!","1938","Music,Short"
"tt0317520","\N","For Auld Lang Syne","For Auld Lang Syne","1938","Documentary,Music,Short"
"tt0323358","nm0870311","Nakimushi kozo","Nakimushi kozo","1938","Drama"
"tt0323475","nm0704613","Oh Mong-nyeo","Oh Mong-nyeo","1937",NULL
"tt0337813","nm0433292","Alkohol und Steuerrad","Alkohol und Steuerrad","1937","Comedy,Short"
"tt0342128","nm0730905","Blamed for a Blonde","Blamed for a Blonde","1939","Comedy,Short"
"tt0342212","nm0292573","American Saddle Horses","American Saddle Horses","1939","Documentary,Short"
"tt0359543","nm1346359,nm1597619","Karo","Karo","1937","Adventure,War"
"tt0366679","nm0869664","The King Without a Crown","The King Without a Crown","1937","History,Mystery,Short"
"tt0381643","nm0294137","Taking the Count","Taking the Count","1937","Short"
"tt0383632","\N","Shen Lagna","Shen Lagna","1938",NULL
"tt0384899","\N","Cyclewali","Cyclewali","1937",NULL
"tt0411813","\N","Rosencrantz and Guildenstern","Rosencrantz and Guildenstern","1938",NULL
"tt0416869","\N","Jack Jackson and His Band","Jack Jackson and His Band","1938","Drama"
"tt0416907","nm1656213","Laugh with Me","Laugh with Me","1938","Comedy"
"tt0417048","\N","Pest Pilot","Pest Pilot","1938",NULL
"tt0417275","nm1656214,nm0267536","The Wooing of Anne Hathaway","The Wooing of Anne Hathaway","1938","Drama,Musical"
"tt0418284","\N","The Van Dyck","The Van Dyck","1939","Comedy"
"tt0420180","\N","The Shoemaker's Last","The Shoemaker's Last","1939",NULL
"tt0424056","nm1717967","Druzya iz tabora","Druzya iz tabora","1938","Family"
"tt0427833","nm1699737","Sen'ninbari","Sen'ninbari","1937",NULL
"tt0427924","\N","Table d'Hote","Table d'Hote","1939","Music"
"tt0435545","nm0460395","Woman at the Crossroads","Zena na rozcesti","1937",NULL
"tt0435744","nm0433292","Sparkasse mit Likör","Sparkasse mit Likör","1937","Short"
"tt0435800","nm0312988","Drops wird Flieger","Drops wird Flieger","1938","Short"
"tt0440436","nm0949031","Gonin no kyodai","Gonin no kyodai","1939",NULL
"tt0452359","nm0901874","Onkel Fridolin","Onkel Fridolin","1939","Short"
"tt0461825","nm1593768","Paroparong bukid","Paroparong bukid","1938","Drama"
"tt0466948","nm0130730","Le roi soldat","Le roi soldat","1937","Documentary,Short"
"tt0484253","nm0793622","The Lights of Asakusa","Asakusa no hi","1937","Drama,Romance"
"tt0498568","nm0405620,nm2158900","Schicksalswende","Schicksalswende","1939","Documentary,Short"
"tt0821047","nm0376221","The Human Bomb","The Human Bomb","1939","Short"
"tt0922602","\N","Semarang","Semarang","1937",NULL
"tt0929419","nm0117745","Sable Cicada","Diao Chan","1938","Drama,Romance,War"
"tt0931368","nm0206031","Taku","Taku","1937","Adventure"
"tt0953386","nm2541228","Extra no shôjo","Extra no shôjo","1938",NULL
"tt0953639","nm1673044","Utau noriai basha","Utau noriai basha","1939",NULL
"tt0996666","nm1779812","Der vertauschte Hund","Der vertauschte Hund","1937","Short"
"tt1015351","nm0695114","In der Rott","In der Rott","1937","Short"
"tt1062354","nm1222110","Rangila Mazdoor","Rangila Mazdoor","1938",NULL
"tt0026483","nm0597405","Hombres contra hombres","Hombres contra hombres","1937",NULL
"tt0027367","nm0562845,nm0002031","Black Legion","Black Legion","1937","Crime,Drama,Film-Noir"
"tt0027608","nm0737053","Farewell to Cinderella","Farewell to Cinderella","1937",NULL
"tt0028386","nm0711859","Tisztelet a kivételnek","Tisztelet a kivételnek","1937","Drama"
"tt0028413","nm0739677","The Thirteen","Trinadtsat","1937","Adventure,War"
"tt0028484","nm0127511","We Who Are About to Die","We Who Are About to Die","1937","Crime,Drama"
"tt0028562","\N","Alas negras","Alas negras","1937","Documentary,Short,War"
"tt0028592","nm0631438","Atlantic Flight","Atlantic Flight","1937","Action,Drama,Romance"
"tt0028599","nm0258015","Back in Circulation","Back in Circulation","1937","Comedy,Drama,Mystery"
"tt0028613","nm0914923","Bashful Ballerina","Bashful Ballerina","1937","Comedy,Short"
"tt0028649","nm0523994","Border Phantom","Border Phantom","1937","Western"
"tt0028739","nm0532561,nm0113284","Conquest","Conquest","1937","Drama,History,Romance"
"tt0028740","nm0087704","The Duchess of Parma","La contessa di Parma","1938","Comedy"
"tt0028770","nm0282984","Daughter of Shanghai","Daughter of Shanghai","1937","Crime,Drama,Romance"
"tt0028855","nm0737053","Father Steps Out","Father Steps Out","1937","Comedy"
"tt0028881","nm0482742","Florentine","Florentine","1937",NULL
"tt0028953","nm0001843","The Great Garrick","The Great Garrick","1937","Comedy,Romance"
"tt0029036","nm0749484","I Met Him in Paris","I Met Him in Paris","1937","Comedy,Romance"
"tt0029041","nm0738039","I Want to Be a Boarder","I Want to Be a Boarder","1937","Comedy,Short"
"tt0029080","nm0002031","Kid Galahad","Kid Galahad","1937","Crime,Drama,Romance"
"tt0029085","nm0311174","Bubi","Bubi","1937",NULL
"tt0029111","nm0845290,nm0635969","Lapatossu","Lapatossu","1937","Comedy"
"tt0029155","nm0363414","Little Ol' Bosko and the Cannibals","Little Ol' Bosko and the Cannibals","1937","Animation,Short"
"tt0029224","nm0763798","Meet the Missus","Meet the Missus","1937","Comedy"
"tt0029232","nm0537881","Menschen ohne Vaterland","Menschen ohne Vaterland","1937",NULL
"tt0029238","nm0567757","Midnight Court","Midnight Court","1937","Crime,Drama,Romance"
"tt0029270","nm0641007","Much Ado About Nothing","Much Ado About Nothing","1937","Comedy,Romance"
"tt0029310","nm0861703","Night Must Fall","Night Must Fall","1937","Drama,Mystery,Thriller"
"tt0029346","nm0166058","Once a Doctor","Once a Doctor","1937","Drama"
"tt0029379","nm0273203","La partida","La partida","1937","Comedy,Short"
"tt0029406","nm0412274","Plat eller krone","Plat eller krone","1937","Family"
"tt0029421","nm0412650","Porky and Gabby","Porky and Gabby","1937","Animation,Comedy,Family"
"tt0029462","nm0942611","Range Defenders","Range Defenders","1937","Action,Comedy,Western"
"tt0029477","nm0359310","The Face Behind the Scar","Return of a Stranger","1937","Drama,Romance"
"tt0029549","nm0820461","She Had to Eat","She Had to Eat","1937","Comedy"
"tt0029597","nm0385171","Speed to Spare","Speed to Spare","1937","Drama"
"tt0029614","nm0293989","Streamlined Greta Green","Streamlined Greta Green","1937","Animation,Comedy,Family"
"tt0029688","nm0655674","Transporte en la sierra","Transporte en la sierra","1937","Documentary,Short,War"
"tt0029716","nm0728774","The Private's Job","Unternehmen Michael","1937","Drama,War"
"tt0029723","nm0554616","Valencia y sus naranjos","Valencia y sus naranjos","1937","Documentary,Short"
"tt0029743","nm0314705","Wake Up Famous","Wake Up Famous","1937","Comedy,Musical"
"tt0029761","nm0480046,nm0728307","When You're in Love","When You're in Love","1937","Comedy,Musical,Romance"
"tt0029763","nm0531674","When the Poppies Bloom Again","When the Poppies Bloom Again","1937","Short,War"
"tt0029784","nm0693281","Wings Over Honolulu","Wings Over Honolulu","1937","Drama,Romance"
"tt0029790","nm0514822","The Woman I Love","The Woman I Love","1937","Drama"
"tt0029837","nm0742636,nm0802862","Accord final","Accord final","1938","Music,Romance"
"tt0029897","nm0674398","El barbero de Sevilla","El barbero de Sevilla","1938","Musical,Romance"
"tt0029913","nm0281487,nm0101466","Big Chief Ugh-Amugh-Ugh","Big Chief Ugh-Amugh-Ugh","1938","Animation,Comedy,Family"
"tt0031141","nm0583206","Casa lontana","Casa lontana","1939","Drama"
"tt0029964","nm0809467","Campus Cinderella","Campus Cinderella","1938","Comedy,Musical,Short"
"tt0029993","nm0000813","Cinderella Meets Fella","Cinderella Meets Fella","1938","Animation,Comedy,Family"
"tt0030061","nm0583206","Discretion with Honor","Diskretion - Ehrensache","1938","Comedy"
"tt0030081","nm0583206","Dreizehn Mann und eine Kanone","Dreizehn Mann und eine Kanone","1938","Comedy,War"
"tt0030088","nm0316287","Duetto vagabondo","Duetto vagabondo","1939",NULL
"tt0030160","nm0853028","Frontier Town","Frontier Town","1938","Action,Adventure,Music"
"tt0030168","nm0385171","Gang Bullets","Gang Bullets","1938","Crime,Drama"
"tt0030182","nm0502752","The Girl of the Golden West","The Girl of the Golden West","1938","Musical,Romance,Western"
"tt0030252","nm0138893","Hotel du Nord","Hôtel du Nord","1938","Drama,Romance"
"tt0030253","nm0631438","I Am a Criminal","I Am a Criminal","1938","Crime,Drama"
"tt0030277","nm0268513","The Invisible Menace","The Invisible Menace","1938","Comedy,Mystery"
"tt0030323","nm0615868","King of the Newsboys","King of the Newsboys","1938","Drama"
"tt0030327","nm0254125","Kleines Bezirksgericht","Kleines Bezirksgericht","1938","Comedy"
"tt0030336","nm0038089","Kustens glada kavaljerer","Kustens glada kavaljerer","1938","Comedy,Romance"
"tt0030355","nm0281487","Learn Polikeness","Learn Polikeness","1938","Animation,Comedy,Family"
"tt0030374","nm0268513","Little Miss Thoroughbred","Little Miss Thoroughbred","1938","Drama,Romance,Sport"
"tt0030384","nm0939992","Lord Jeff","Lord Jeff","1938","Crime,Drama"
"tt0030403","nm0620661","Nangoku taiheiki: zenpen","Nangoku taiheiki: zenpen","1937","War"
"tt0030485","nm0809467","Mystery House","Mystery House","1938","Adventure,Crime,Mystery"
"tt0030533","nm0322178","Guest for One Night","L'ospite di una notte","1939",NULL
"tt0030551","nm0853028","Panamint's Bad Man","Panamint's Bad Man","1938","Western"
"tt0030571","nm0568915","Penrod and His Twin Brother","Penrod and His Twin Brother","1938","Comedy"
"tt0030721","nm0220131","Scheidungsreise","Scheidungsreise","1938","Comedy,Romance"
"tt0030746","nm0924065","Sidewalks of London","St. Martin's Lane","1938","Comedy"
"tt0030761","nm0657162","Sky Pirates","Sky Pirates","1938",NULL
"tt0030771","nm0003373","Sons of the Legion","Sons of the Legion","1938","Drama"
"tt0030775","nm0368871","Spawn of the North","Spawn of the North","1938","Action,Adventure,Romance"
"tt0030797","nm0377613","Den stora kärleken","Den stora kärleken","1938",NULL
"tt0030804","nm0846505","Strange Faces","Strange Faces","1938","Drama"
"tt0030812","nm0782947","Sunset Trail","Sunset Trail","1938","Adventure,Western"
"tt0030843","nm0275034,nm0478303","Terra di fuoco","Terra di fuoco","1939","Drama"
"tt0030850","nm0003373","The Texans","The Texans","1938","Western"
"tt0030866","nm0520419","Three Little Sew and Sews","Three Little Sew and Sews","1939","Comedy,Short"
"tt0030935","\N","Viagem ao Brasil","Viagem ao Brasil","1938","Documentary"
"tt0030976","nm0737053","Why Pick on Me?","Why Pick on Me?","1937","Comedy"
"tt0031029","nm0796645","Alfalfa's Aunt","Alfalfa's Aunt","1939","Comedy,Family,Short"
"tt0031036","nm0281487","Always Kickin'","Always Kickin'","1939","Animation,Short"
"tt0031045","nm0258015","Angels Wash Their Faces","Angels Wash Their Faces","1939","Drama,Romance"
"tt0031073","nm0220813","Baghi","Baghi","1939",NULL
"tt0031125","nm0003373","Bulldog Drummond's Secret Police","Bulldog Drummond's Secret Police","1939","Mystery,Thriller"
"tt0031216","nm0437356","Days of Jesse James","Days of Jesse James","1939","Romance,Western"
"tt0031260","nm0445033","Each Dawn I Die","Each Dawn I Die","1939","Crime,Drama,Film-Noir"
"tt0031300","nm0001178","The Fergana Canal","The Fergana Canal","1939","Documentary,Short"
"tt0031382","nm0005062","The Good Egg","The Good Egg","1939","Animation,Comedy,Family"
"tt0031414","nm0635969,nm0845290","Helmikuun manifesti","Helmikuun manifesti","1939","Drama"
"tt0031428","nm0345500","Ho visto brillare le stelle","Ho visto brillare le stelle","1939",NULL
"tt0031464","nm0446053","I Met a Murderer","I Met a Murderer","1939","Crime,Drama,Romance"
"tt0031468","nm0062183","I dag börjar livet","I dag börjar livet","1939","Drama"
"tt0031470","nm0778306","The Ice Follies of 1939","The Ice Follies of 1939","1939","Drama,Music,Romance"
"tt0031471","nm0065607,nm0286924","I Am Sebastian Ott","Ich bin Sebastian Ott","1939",NULL
"tt0031563","nm0374871","Linen for Ireland","Leinen aus Irland","1939","Comedy,Drama,Romance"
"tt0031583","nm0560395","Lo vedi come sei... Lo vedi come sei?","Lo vedi come sei... Lo vedi come sei?","1939","Comedy"
"tt0031590","nm0006943","Long Shot","Long Shot","1939","Drama"
"tt0031599","nm0584778","Lying Lips","Lying Lips","1939","Drama,Music"
"tt0031619","nm0001843","The Man in the Iron Mask","The Man in the Iron Mask","1939","Adventure,History,Romance"
